time,open,high,low,close,volume
2023-08-15T16:15:00.000Z,1906.76,1907.26,1905.06,1905.08,1521
2023-08-15T16:30:00.000Z,1905.01,1905.42,1903.83,1904.54,1581
2023-08-15T16:45:00.000Z,1904.56,1904.57,1903.5,1903.66,1564
2023-08-15T17:00:00.000Z,1903.67,1904.08,1903.32,1903.93,1300
2023-08-15T17:15:00.000Z,1903.91,1904.9,1903.73,1904,1904
2023-08-15T17:30:00.000Z,1904.01,1904.65,1903.42,1904.53,1324
2023-08-15T17:45:00.000Z,1904.56,1905.53,1904.02,1904.41,2028
2023-08-15T18:00:00.000Z,1904.42,1905.34,1903.45,1903.8,1589
2023-08-15T18:15:00.000Z,1903.81,1903.99,1903.09,1903.73,969
2023-08-15T18:30:00.000Z,1903.73,1904.2,1903.28,1903.52,927
2023-08-15T18:45:00.000Z,1903.52,1903.64,1902.51,1902.65,1090
2023-08-15T19:00:00.000Z,1902.61,1903.33,1902.53,1902.98,888
2023-08-15T19:15:00.000Z,1902.99,1903.22,1902.51,1903.03,811
2023-08-15T19:30:00.000Z,1903.04,1903.82,1902.66,1902.95,1520
2023-08-15T19:45:00.000Z,1902.94,1903.5,1902.46,1902.67,2022
2023-08-15T20:00:00.000Z,1902.66,1903.58,1902.09,1902.67,1242
2023-08-15T20:15:00.000Z,1902.66,1902.75,1902,1902.3,303
2023-08-15T20:30:00.000Z,1902.29,1902.41,1901.58,1901.58,321
2023-08-15T20:45:00.000Z,1901.6,1901.9,1901.32,1901.81,382
2023-08-15T22:00:00.000Z,1901.86,1902.55,1901.86,1901.99,240
2023-08-15T22:15:00.000Z,1901.99,1902.38,1901.74,1901.9,396
2023-08-15T22:30:00.000Z,1901.9,1902.26,1901.21,1901.23,382
2023-08-15T22:45:00.000Z,1901.22,1902.07,1901.22,1901.48,254
2023-08-15T23:00:00.000Z,1901.47,1901.55,1900.29,1901.43,654
2023-08-15T23:15:00.000Z,1901.48,1901.63,1901.32,1901.51,170
2023-08-15T23:30:00.000Z,1901.54,1901.89,1901.23,1901.67,357
2023-08-15T23:45:00.000Z,1901.67,1902.27,1901.42,1901.43,494
